Wake-up Time (Hour),Exercise,Meditation,Breakfast,Screen Time Before Work (min),Productivity Score
5.68,No,Yes,Yes,77.4,8.1
5.6,Yes,Yes,Yes,1.1,10.0
6.03,No,No,No,89.6,5.8
5.42,Yes,Yes,No,71.7,8.6
7.89,Yes,Yes,No,73.3,7.1
8.27,Yes,No,Yes,22.9,7.7
6.91,No,No,Yes,46.4,7.3
7.32,Yes,Yes,No,85.2,6.9
4.67,No,No,No,28.1,6.9
6.78,No,Yes,Yes,39.1,8.7
8.63,Yes,No,No,60.1,5.2
7.3,No,Yes,Yes,47.2,6.5
7.29,No,No,No,11.7,6.5
9.11,No,Yes,No,19.5,6.1
5.93,Yes,Yes,Yes,110.5,8.0
9.38,Yes,No,No,114.8,3.7
7.59,No,No,No,35.2,6.2
8.47,Yes,Yes,Yes,78.0,7.4
4.69,Yes,No,No,61.0,8.2
8.83,No,Yes,No,42.5,5.4
6.12,Yes,Yes,Yes,89.2,8.7
5.56,No,No,No,19.8,7.5
6.23,No,No,No,48.9,6.2
9.39,Yes,Yes,No,17.5,7.0
6.05,No,Yes,No,45.8,7.6
7.42,No,Yes,No,75.7,6.4
8.19,No,Yes,Yes,9.5,8.4
8.06,No,Yes,Yes,62.1,6.9
8.89,No,Yes,Yes,79.8,4.9
6.29,No,No,Yes,86.8,5.7
7.71,No,No,Yes,92.0,4.9
4.88,No,No,No,98.3,5.6
6.35,Yes,No,Yes,84.9,8.0
7.15,No,No,No,57.1,5.7
7.32,Yes,Yes,Yes,69.4,7.7
6.32,Yes,Yes,No,41.2,8.8
6.27,No,No,Yes,70.9,6.9
8.44,Yes,Yes,Yes,101.1,7.2
6.79,Yes,No,No,46.2,7.9
6.51,No,Yes,No,74.0,6.7
6.27,Yes,Yes,No,96.5,8.3
6.93,No,No,Yes,29.1,7.6
8.13,No,No,No,55.7,5.1
7.29,No,Yes,Yes,30.5,7.7
5.96,Yes,Yes,Yes,25.9,10.0
7.57,No,Yes,No,72.5,6.4
6.9,Yes,Yes,Yes,2.4,9.8
7.54,Yes,No,No,2.7,8.0
5.98,Yes,No,No,37.3,8.2
4.52,Yes,Yes,No,3.2,9.5
8.8,Yes,Yes,No,32.9,6.3
8.22,No,No,Yes,15.0,6.2
7.44,No,Yes,No,1.6,7.2
6.1,No,No,No,0.5,8.0
7.08,No,No,No,68.7,5.2
8.49,No,Yes,Yes,72.9,6.5
6.36,No,No,No,98.8,5.8
5.19,Yes,Yes,Yes,65.1,9.7
7.1,Yes,No,Yes,77.5,6.2
5.11,No,No,Yes,31.7,7.8
8.67,Yes,Yes,No,64.0,6.0
6.6,Yes,Yes,No,118.1,7.1
8.39,Yes,No,Yes,23.4,7.8
7.36,Yes,No,No,16.0,6.9
4.7,Yes,Yes,No,78.9,8.9
4.78,Yes,Yes,Yes,5.4,10.0
8.72,Yes,No,No,84.6,5.3
5.65,Yes,Yes,Yes,54.6,9.6
5.54,Yes,No,Yes,90.3,8.0
4.59,No,No,No,75.7,6.5
7.39,No,Yes,Yes,56.9,7.1
8.41,Yes,Yes,No,13.9,7.7
7.84,Yes,No,No,59.3,6.3
6.33,Yes,No,No,106.6,7.2
8.59,No,No,Yes,82.6,4.5
8.07,Yes,Yes,No,114.5,6.4
5.06,No,Yes,Yes,25.8,9.1
9.41,Yes,Yes,No,14.1,7.2
7.67,Yes,Yes,No,79.4,6.2
8.82,No,No,Yes,37.6,4.9
6.75,Yes,No,No,101.9,6.0
7.93,Yes,No,No,115.7,5.2
7.1,Yes,Yes,Yes,117.0,6.7
9.34,No,No,Yes,86.3,4.2
5.66,No,No,Yes,67.1,7.0
5.7,No,No,Yes,107.5,6.1
5.91,Yes,No,No,111.8,7.0
7.76,Yes,Yes,No,110.5,6.5
6.98,No,Yes,Yes,113.3,6.7
5.76,No,Yes,No,22.2,8.0
9.46,Yes,Yes,No,104.4,5.5
8.56,No,No,Yes,101.4,3.4
6.8,No,No,Yes,76.2,6.9
7.91,Yes,Yes,Yes,107.7,7.6
6.39,No,No,No,45.5,6.8
5.17,No,No,No,36.7,7.3
6.6,No,Yes,No,112.9,6.3
7.2,No,Yes,Yes,87.0,5.9
8.23,Yes,No,No,88.5,6.1
7.57,Yes,No,No,28.4,7.0
5.83,No,No,No,101.8,6.3
5.78,Yes,No,Yes,111.4,6.9
4.79,Yes,Yes,No,29.1,9.5
6.33,No,No,Yes,88.1,6.0
7.92,Yes,Yes,Yes,51.8,7.6
5.96,Yes,Yes,No,42.7,9.4
7.47,Yes,No,Yes,71.5,7.1
9.28,No,Yes,No,69.8,4.7
5.42,No,No,Yes,58.0,7.0
8.02,No,Yes,Yes,9.7,7.7
7.8,Yes,Yes,Yes,110.0,6.9
9.3,No,No,Yes,116.6,3.1
8.66,Yes,Yes,Yes,23.2,6.9
7.66,Yes,Yes,Yes,53.9,8.7
4.75,Yes,Yes,Yes,7.6,10.0
6.95,No,No,No,32.4,6.3
7.05,Yes,No,Yes,57.1,7.1
8.14,No,No,Yes,84.1,5.0
7.43,Yes,No,No,17.9,7.5
7.97,No,No,No,92.2,4.2
9.07,Yes,No,Yes,16.0,6.8
5.03,Yes,No,Yes,34.4,8.9
9.25,No,Yes,No,39.3,5.9
7.65,No,No,Yes,43.5,6.6
5.44,Yes,No,No,62.8,7.6
8.01,Yes,Yes,No,32.0,8.3
8.96,Yes,Yes,Yes,25.7,7.4
8.84,No,No,No,115.9,3.1
7.5,Yes,Yes,Yes,17.1,8.8
8.73,Yes,Yes,Yes,38.7,7.5
8.48,Yes,No,Yes,4.1,8.3
6.32,Yes,Yes,Yes,41.6,9.6
7.37,No,No,Yes,17.3,6.4
8.71,No,No,Yes,79.6,4.1
5.41,No,Yes,No,0.9,8.5
6.91,Yes,No,No,98.6,6.9
8.02,No,Yes,No,15.0,6.9
7.77,Yes,No,Yes,17.1,7.9
4.75,Yes,Yes,Yes,18.4,10.0
5.44,No,No,No,41.7,7.1
5.98,No,Yes,Yes,75.1,8.1
7.03,Yes,No,Yes,10.4,8.2
6.19,No,No,No,1.3,7.2
6.53,No,No,Yes,24.0,7.6
8.06,Yes,No,No,102.7,5.9
7.54,No,No,Yes,118.3,4.3
5.83,No,Yes,Yes,15.2,8.8
5.85,No,Yes,No,57.9,8.4
8.22,Yes,Yes,Yes,46.7,9.0
7.7,No,No,No,24.2,5.6
9.07,Yes,No,No,6.7,6.3
4.61,No,Yes,No,108.8,6.2
9.47,No,Yes,No,37.4,5.6
7.82,No,Yes,Yes,28.9,7.2
9.26,No,No,Yes,7.3,5.4
8.97,No,No,Yes,57.6,4.7
7.76,No,Yes,No,8.5,7.6
5.86,No,Yes,No,45.6,7.9
8.17,No,No,No,55.0,5.7
5.89,No,Yes,No,24.5,8.4
6.56,No,Yes,No,95.2,6.5
5.75,Yes,Yes,Yes,91.7,8.5
8.52,Yes,Yes,Yes,50.9,6.5
5.18,Yes,Yes,No,28.7,10.0
4.52,Yes,No,Yes,79.0,8.7
5.22,No,No,Yes,83.8,6.4
6.26,No,Yes,No,87.8,6.4
5.08,Yes,No,Yes,8.0,9.8
4.56,No,No,Yes,83.1,7.0
7.34,Yes,Yes,Yes,87.7,7.4
9.21,No,No,Yes,116.6,3.5
5.49,Yes,No,No,53.7,8.4
7.84,No,No,Yes,61.8,5.9
4.62,No,Yes,Yes,93.2,7.6
5.07,No,Yes,No,13.7,8.9
7.52,No,No,Yes,43.4,6.4
7.63,Yes,No,No,74.4,5.7
5.79,Yes,No,No,13.1,8.8
6.75,Yes,Yes,No,42.4,9.3
4.92,No,No,No,99.3,5.9
8.37,No,Yes,No,18.1,7.4
8.99,No,No,Yes,55.9,5.0
7.84,No,No,No,22.2,5.9
5.18,Yes,No,Yes,92.9,8.1
7.78,No,No,Yes,89.5,4.9
6.18,No,No,No,49.5,6.6
8.75,Yes,No,No,30.5,6.2
4.94,Yes,Yes,No,61.5,9.1
5.68,No,Yes,Yes,101.9,7.0
6.83,Yes,Yes,Yes,105.1,7.9
6.29,No,Yes,No,8.5,8.6
9.34,No,Yes,No,4.8,5.8
7.9,Yes,Yes,No,0.9,8.2
6.03,No,Yes,No,115.0,6.0
7.3,No,Yes,No,67.1,6.5
8.27,Yes,Yes,No,91.7,6.7
5.99,No,No,Yes,11.4,7.9
5.4,No,Yes,No,24.4,8.1
6.78,No,Yes,Yes,61.1,8.1
7.27,Yes,No,Yes,94.5,6.2
6.64,Yes,Yes,No,52.0,8.7
5.06,Yes,Yes,No,119.5,7.6
7.08,Yes,Yes,Yes,31.3,8.5
6.75,No,Yes,Yes,101.2,6.8
7.39,Yes,Yes,No,51.0,8.0
6.78,No,No,No,60.2,6.5
7.84,No,Yes,No,26.7,7.2
5.81,No,Yes,No,76.6,7.3
7.68,No,Yes,Yes,12.9,7.5
6.69,Yes,No,No,64.4,7.2
6.7,No,Yes,No,36.0,8.0
4.53,Yes,Yes,No,89.9,8.8
6.17,Yes,No,Yes,51.3,8.8
6.82,Yes,Yes,No,113.2,7.9
8.79,Yes,Yes,Yes,107.0,5.6
6.7,Yes,Yes,Yes,95.0,8.4
6.37,Yes,Yes,Yes,3.8,10.0
6.81,No,Yes,No,26.3,7.6
8.03,Yes,Yes,Yes,45.5,8.2
7.5,No,No,Yes,87.8,5.3
8.15,Yes,Yes,Yes,91.5,7.1
9.01,Yes,Yes,Yes,116.4,5.1
7.85,Yes,No,No,20.8,7.9
9.32,No,No,No,1.1,5.7
8.2,No,Yes,Yes,10.1,8.0
9.28,Yes,Yes,Yes,19.7,7.9
9.36,No,No,Yes,27.3,5.1
9.04,No,No,Yes,88.2,4.4
8.97,Yes,No,No,25.8,5.7
8.59,Yes,Yes,Yes,72.2,6.5
5.3,No,Yes,Yes,58.1,8.8
9.32,Yes,Yes,No,74.2,5.4
7.88,No,No,Yes,111.2,4.5
8.88,Yes,Yes,No,47.4,6.4
9.07,Yes,Yes,Yes,56.2,7.4
7.74,No,Yes,Yes,30.1,6.8
4.89,Yes,Yes,Yes,109.8,8.5
8.75,Yes,No,Yes,20.6,6.3
5.78,No,Yes,No,36.5,7.8
6.54,No,No,No,22.4,7.5
7.41,No,Yes,No,104.2,5.5
6.57,No,No,No,21.3,7.3
8.31,Yes,No,No,119.5,5.0
6.11,No,Yes,Yes,54.2,8.0
7.13,No,No,Yes,113.3,4.7
7.11,No,No,Yes,8.6,6.5
8.75,No,Yes,No,118.9,4.1
7.64,Yes,Yes,No,115.1,6.1
7.21,No,Yes,No,32.3,7.0
4.91,Yes,Yes,Yes,89.2,9.1
4.81,Yes,No,No,55.4,8.1
4.74,Yes,Yes,Yes,44.9,9.9
9.48,Yes,Yes,No,66.7,6.6
8.77,Yes,Yes,No,65.3,6.2
8.88,Yes,Yes,Yes,52.1,7.2
8.16,Yes,Yes,No,73.9,7.2
8.51,Yes,Yes,Yes,13.9,7.6
7.32,Yes,Yes,No,73.8,7.3
7.21,No,No,No,14.8,6.5
8.73,No,No,Yes,35.9,4.7
4.85,No,Yes,No,69.0,7.6
7.89,No,Yes,Yes,73.7,6.5
9.01,No,No,Yes,4.4,5.3
6.56,No,No,No,71.3,5.5
7.34,Yes,Yes,Yes,36.9,8.8
9.23,Yes,No,Yes,91.7,5.1
7.74,Yes,Yes,No,24.0,8.2
5.79,Yes,No,Yes,15.7,9.5
7.57,Yes,No,Yes,82.6,6.8
6.76,Yes,Yes,Yes,61.6,9.5
9.22,No,Yes,Yes,65.0,5.2
7.29,No,Yes,No,72.6,6.3
6.63,No,Yes,No,32.8,8.1
8.62,No,Yes,No,73.9,5.2
9.16,Yes,No,Yes,46.3,5.7
9.33,Yes,Yes,Yes,118.2,5.7
6.68,Yes,Yes,Yes,35.2,9.8
6.62,Yes,No,Yes,111.3,6.8
5.61,Yes,Yes,No,119.5,7.4
7.98,No,Yes,No,36.4,6.9
7.9,Yes,No,No,57.8,6.9
8.97,No,No,No,22.9,4.6
5.02,Yes,No,Yes,36.5,9.7
8.3,No,No,Yes,62.5,6.0
7.27,No,Yes,Yes,0.4,8.1
5.83,Yes,Yes,No,24.4,9.3
8.1,No,Yes,No,50.7,6.7
7.03,Yes,Yes,No,45.4,8.3
7.02,Yes,No,Yes,25.0,7.6
5.24,No,Yes,Yes,10.4,9.4
8.69,Yes,Yes,Yes,103.4,5.6
7.61,Yes,No,Yes,106.5,6.3
8.64,No,Yes,No,91.4,4.7
9.47,No,No,No,92.4,3.2
7.57,Yes,No,No,40.4,7.5
7.34,Yes,No,Yes,93.8,6.2
7.4,No,Yes,Yes,57.8,6.8
8.04,Yes,Yes,Yes,48.4,7.5
4.66,No,Yes,No,64.0,7.4
7.56,Yes,Yes,Yes,71.7,7.8
4.58,No,Yes,Yes,17.6,9.6
6.82,No,Yes,Yes,75.6,7.9
6.12,Yes,No,No,59.0,7.2
9.23,No,No,No,51.9,4.1
9.04,No,No,Yes,14.2,5.0
7.93,No,Yes,Yes,46.2,6.7
6.42,No,Yes,No,28.2,7.7
6.79,No,Yes,Yes,98.3,7.3
6.65,Yes,Yes,No,68.6,9.0
9.15,No,No,Yes,97.3,3.4
8.24,No,Yes,Yes,97.8,6.5
7.05,Yes,No,No,78.6,5.9
6.87,No,No,Yes,115.5,6.0
8.49,Yes,No,No,6.8,7.8
4.65,No,Yes,Yes,28.3,8.7
4.76,Yes,Yes,Yes,69.7,10.0
8.27,Yes,Yes,Yes,52.5,8.2
6.74,Yes,Yes,Yes,97.7,8.3
8.99,Yes,No,No,5.6,6.5
6.38,No,No,No,53.6,6.3
8.28,Yes,No,Yes,111.4,6.3
8.16,Yes,No,Yes,39.7,7.6
4.62,Yes,No,No,47.5,8.6
6.17,Yes,Yes,No,30.0,8.6
5.18,No,Yes,No,43.7,7.8
4.72,No,Yes,Yes,4.2,9.0
7.2,No,No,No,54.7,5.2
8.67,No,No,No,60.6,3.6
5.98,Yes,No,Yes,116.8,7.3
5.34,No,Yes,Yes,59.5,8.2
7.15,No,No,Yes,27.9,6.0
7.35,No,Yes,Yes,111.9,5.7
6.69,Yes,No,No,35.3,8.1
7.42,Yes,Yes,No,53.2,7.4
4.93,No,No,No,71.5,6.0
5.54,No,Yes,Yes,93.7,7.5
9.25,No,No,Yes,20.5,5.3
7.38,No,No,Yes,54.0,6.0
6.52,No,No,Yes,17.8,7.2
8.22,Yes,Yes,Yes,28.6,8.5
5.51,Yes,Yes,No,35.0,9.3
5.75,Yes,No,No,45.1,8.2
6.89,Yes,Yes,Yes,38.0,9.3
5.83,Yes,Yes,Yes,64.9,8.8
5.25,Yes,Yes,No,5.1,9.9
6.15,No,No,No,64.6,6.4
6.9,No,No,No,7.4,6.9
5.57,Yes,No,Yes,51.0,8.3
8.94,Yes,Yes,Yes,10.8,8.5
8.82,Yes,Yes,Yes,9.6,7.1
6.14,No,Yes,Yes,99.6,6.6
7.88,No,Yes,No,11.6,7.0
8.74,Yes,No,Yes,61.7,5.5
9.14,Yes,Yes,No,38.7,7.0
7.04,No,No,Yes,14.1,6.6
8.76,Yes,Yes,Yes,16.2,7.9
7.23,No,Yes,Yes,18.1,7.3
6.42,No,No,Yes,109.9,5.6
7.12,No,No,Yes,19.4,6.8
7.3,No,No,Yes,52.8,6.3
8.95,No,Yes,No,79.1,4.9
8.63,Yes,Yes,No,49.1,6.2
5.76,No,No,Yes,19.6,7.9
5.95,No,Yes,Yes,72.1,7.7
8.39,No,Yes,Yes,15.4,7.6
8.87,No,No,Yes,21.2,5.2
5.34,No,Yes,Yes,108.8,7.1
8.97,No,No,Yes,66.3,4.9
9.13,Yes,Yes,No,55.4,6.8
5.89,No,No,Yes,94.0,6.4
6.07,Yes,Yes,Yes,12.5,9.6
5.63,No,No,Yes,30.1,7.9
6.43,Yes,Yes,Yes,9.1,10.0
9.37,No,No,Yes,11.9,5.9
7.03,Yes,Yes,Yes,62.6,7.7
7.66,No,Yes,Yes,5.4,8.1
6.28,Yes,Yes,Yes,26.1,9.0
5.33,Yes,Yes,Yes,2.3,10.0
9.46,No,No,Yes,22.4,5.0
6.96,No,Yes,No,17.9,8.0
6.12,No,Yes,No,98.7,7.1
5.62,No,Yes,Yes,106.6,7.4
8.98,No,No,Yes,113.1,3.7
6.24,Yes,No,No,58.8,7.9
7.79,Yes,No,Yes,43.9,6.8
9.12,No,Yes,Yes,10.6,7.0
6.6,Yes,No,No,96.0,6.5
6.56,No,Yes,Yes,82.9,7.3
7.47,Yes,Yes,Yes,18.1,8.3
7.06,No,Yes,No,68.8,6.2
6.36,Yes,Yes,No,110.5,7.5
7.34,Yes,Yes,Yes,46.4,7.9
4.65,No,No,No,60.3,7.1
8.48,No,Yes,No,3.4,7.5
5.45,No,Yes,Yes,90.3,7.3
5.31,Yes,Yes,No,58.4,8.9
6.73,Yes,Yes,No,0.2,9.8
8.31,No,Yes,No,7.5,7.4
6.8,Yes,Yes,Yes,21.8,10.0
6.13,No,Yes,No,24.6,8.0
6.72,No,No,No,65.9,6.2
7.45,No,No,No,4.1,6.7
5.47,Yes,Yes,No,35.1,9.5
8.28,Yes,No,No,78.4,5.7
7.04,Yes,No,No,36.6,7.2
8.24,Yes,No,Yes,41.4,7.6
4.52,Yes,Yes,No,45.6,8.8
9.21,Yes,No,Yes,58.4,5.7
5.37,No,No,Yes,106.7,6.3
8.98,Yes,No,No,7.6,6.5
5.28,Yes,Yes,No,82.0,9.0
7.99,No,No,No,38.6,5.3
6.46,Yes,Yes,No,26.5,9.5
6.68,Yes,Yes,No,14.3,9.4
7.73,No,Yes,Yes,92.5,6.7
9.07,No,Yes,No,52.2,5.2
4.59,Yes,Yes,Yes,23.5,9.9
6.47,No,No,Yes,44.3,7.4
7.87,No,Yes,No,112.4,4.9
5.11,Yes,Yes,Yes,80.6,9.5
7.13,Yes,No,No,17.3,7.5
4.64,Yes,Yes,No,47.9,9.2
9.14,Yes,Yes,Yes,28.5,7.7
7.04,No,Yes,Yes,81.9,6.8
5.36,No,Yes,Yes,94.6,7.4
6.13,Yes,No,Yes,85.2,7.1
8.02,No,Yes,No,105.7,5.1
7.54,Yes,Yes,No,81.2,7.5
9.45,Yes,Yes,Yes,7.3,7.6
4.98,Yes,No,Yes,36.8,9.5
4.97,Yes,Yes,Yes,64.8,9.4
9.13,No,No,No,4.5,5.2
5.46,Yes,No,No,64.4,8.5
6.49,No,Yes,No,97.4,5.9
8.78,No,No,Yes,14.3,5.0
6.27,Yes,No,No,45.5,7.9
6.53,No,No,No,58.8,6.0
7.06,No,No,Yes,92.0,5.5
9.35,No,Yes,Yes,51.2,5.7
4.53,Yes,Yes,No,92.1,8.4
8.46,Yes,No,Yes,12.3,8.5
9.03,Yes,No,No,65.2,5.6
7.94,No,Yes,Yes,77.6,6.4
9.48,Yes,Yes,No,40.5,6.3
7.16,No,No,Yes,11.5,6.9
9.22,No,No,No,86.7,3.2
9.36,Yes,No,No,36.9,5.7
9.45,No,Yes,No,8.3,6.1
4.89,No,Yes,Yes,112.2,7.5
5.7,Yes,Yes,Yes,91.4,9.1
9.36,Yes,No,Yes,101.6,5.1
8.42,Yes,No,Yes,2.9,8.7
9.24,No,No,Yes,99.9,3.3
9.47,Yes,No,No,73.1,5.1
8.78,Yes,No,Yes,13.5,7.4
4.57,Yes,No,No,108.0,6.8
5.97,Yes,Yes,No,44.8,9.2
9.28,Yes,No,No,119.4,4.0
7.29,Yes,No,Yes,69.5,6.4
4.77,No,No,No,12.8,8.1
5.9,No,Yes,No,9.2,8.4
4.85,Yes,Yes,No,74.6,8.5
6.68,Yes,No,Yes,65.6,7.8
6.66,Yes,Yes,Yes,95.1,8.6
7.1,Yes,Yes,No,63.5,7.6
5.31,Yes,No,Yes,45.5,9.1
5.83,Yes,Yes,Yes,21.7,10.0
6.7,No,No,Yes,71.4,6.3
6.98,Yes,No,Yes,23.9,8.7
8.75,Yes,Yes,Yes,49.9,6.6
5.28,Yes,Yes,Yes,94.8,8.3
8.61,Yes,No,Yes,118.6,4.5
6.71,No,Yes,No,107.3,6.2
7.76,Yes,No,Yes,45.9,6.9
8.5,Yes,Yes,Yes,7.9,7.6
7.03,No,Yes,No,107.7,5.6
7.5,Yes,Yes,Yes,83.7,7.6
7.26,No,Yes,Yes,63.0,6.3
4.87,Yes,Yes,No,86.2,8.7
7.33,Yes,No,No,11.6,7.4
7.26,Yes,No,No,61.2,6.0
5.56,No,Yes,No,11.7,9.2
6.51,Yes,Yes,No,103.7,7.3
5.87,Yes,Yes,Yes,61.3,9.5
4.76,No,No,Yes,54.8,7.5
8.22,No,No,Yes,16.6,6.3
6.85,Yes,No,No,119.8,6.1
6.66,Yes,No,Yes,9.7,8.9
8.02,No,Yes,No,57.0,5.9
8.95,No,No,Yes,29.3,5.4
8.49,Yes,Yes,No,64.8,7.3
9.24,No,No,Yes,18.7,5.3
5.19,Yes,Yes,Yes,0.3,10.0
8.31,No,No,Yes,0.4,6.7
7.85,No,Yes,Yes,47.8,7.1
7.77,Yes,No,Yes,71.6,6.6
6.37,Yes,No,No,6.1,8.6
8.3,No,No,No,24.8,5.9
5.4,Yes,Yes,Yes,73.7,9.9
9.36,Yes,No,Yes,92.6,4.7
6.74,No,No,Yes,119.3,5.4
5.5,No,Yes,No,113.3,6.8
8.44,Yes,Yes,Yes,101.2,7.6
6.52,No,No,No,80.1,6.2
6.25,Yes,Yes,Yes,35.6,9.0
8.39,No,Yes,No,16.7,6.7
7.38,No,Yes,No,34.3,7.2
8.74,Yes,No,No,102.3,4.8
8.39,No,No,No,114.4,3.7
4.64,Yes,Yes,Yes,21.0,10.0
7.06,Yes,No,No,99.6,6.1
8.3,Yes,No,No,38.4,7.3
8.43,No,Yes,Yes,82.1,5.7
5.15,Yes,Yes,No,69.8,9.2
5.97,Yes,No,No,19.4,9.0
7.77,No,Yes,No,67.8,5.5
6.39,No,Yes,Yes,43.4,8.3
9.34,No,Yes,Yes,103.0,4.7
7.87,Yes,No,Yes,13.7,8.2
9.05,Yes,Yes,Yes,116.1,5.6
7.49,Yes,No,No,94.7,5.5
9.11,Yes,No,No,119.0,4.3
5.23,Yes,No,Yes,100.9,8.0
7.98,No,No,Yes,47.9,5.8
5.68,Yes,No,Yes,81.7,8.5
8.67,No,Yes,Yes,93.8,5.3
5.55,No,Yes,No,95.0,7.4
6.38,Yes,No,No,35.1,8.0
5.05,No,No,No,114.4,5.4
5.98,No,No,No,5.5,7.6
6.59,Yes,Yes,No,44.4,8.3
8.39,No,Yes,Yes,52.7,6.6
7.27,No,Yes,Yes,36.3,7.8
4.71,Yes,No,No,20.2,8.6
4.71,No,Yes,Yes,57.3,8.0
6.32,No,No,No,91.3,5.3
4.89,No,Yes,Yes,75.7,8.0
4.83,Yes,Yes,No,62.9,8.6
5.38,Yes,No,Yes,102.6,7.4
8.08,Yes,Yes,No,85.0,7.5
6.73,Yes,No,No,107.7,6.0
8.75,No,No,No,98.3,3.1
7.48,No,No,Yes,45.9,5.6
4.63,Yes,Yes,Yes,6.5,10.0
9.21,Yes,Yes,No,14.6,7.2
5.57,Yes,No,No,68.9,7.8
7.27,Yes,Yes,Yes,114.0,6.5
6.37,Yes,Yes,No,10.7,9.2
5.88,Yes,No,Yes,44.8,8.9
8.43,Yes,No,Yes,100.3,6.2
5.81,Yes,Yes,No,78.6,9.2
9.03,Yes,Yes,No,43.2,7.0
8.02,No,Yes,Yes,33.6,7.5
6.73,Yes,No,No,103.9,6.7
6.83,No,Yes,No,71.1,6.8
7.28,Yes,Yes,No,59.1,8.0
6.52,No,No,Yes,83.3,5.9
5.5,No,No,No,91.3,5.6
9.34,No,Yes,No,22.9,6.0
7.32,No,No,No,10.1,6.2
5.28,No,No,Yes,63.1,7.2
8.05,No,No,Yes,105.4,4.8
5.67,Yes,No,Yes,40.0,8.7
7.64,Yes,No,No,1.6,7.7
6.78,No,No,Yes,59.2,6.9
5.67,Yes,No,No,33.7,8.7
4.57,No,Yes,No,80.4,7.0
8.24,No,No,No,62.7,4.9
7.3,No,Yes,Yes,71.5,6.9
6.01,No,No,Yes,14.2,8.1
8.73,Yes,Yes,No,21.0,7.2
5.39,Yes,No,No,80.2,7.2
6.12,Yes,Yes,Yes,62.4,8.9
8.92,Yes,No,No,6.6,6.8
5.77,Yes,No,Yes,23.8,9.5
4.73,No,No,No,106.9,5.6
6.21,Yes,No,No,77.2,7.1
5.22,Yes,Yes,No,66.3,9.1
7.73,Yes,Yes,No,6.5,8.9
9.08,No,Yes,Yes,97.3,5.0
9.1,Yes,No,Yes,97.5,5.2
5.24,Yes,No,Yes,56.4,8.4
7.81,No,Yes,Yes,17.9,7.3
6.11,Yes,No,No,50.5,8.1
6.14,No,No,No,21.5,7.2
7.79,Yes,No,No,58.0,5.9
5.83,Yes,Yes,Yes,54.9,9.8
8.48,No,No,Yes,119.2,4.7
8.14,Yes,No,No,109.1,4.9
9.43,Yes,No,Yes,58.9,6.3
6.49,No,Yes,Yes,65.0,7.4
5.09,No,Yes,No,65.2,7.3
5.43,Yes,No,Yes,84.8,8.2
6.55,Yes,Yes,Yes,119.6,7.2
6.28,No,Yes,No,27.7,7.6
7.03,No,Yes,No,46.9,6.6
5.42,Yes,Yes,Yes,97.2,8.2
8.48,Yes,No,No,84.4,5.8
6.8,No,Yes,Yes,76.4,7.6
5.88,No,Yes,No,5.1,8.9
5.3,Yes,Yes,No,57.8,9.2
7.41,Yes,Yes,No,52.7,7.8
8.52,Yes,No,No,88.6,5.0
6.4,Yes,No,Yes,41.8,8.1
8.6,No,Yes,No,44.4,5.4
7.1,Yes,No,No,88.6,5.7
4.87,No,No,Yes,100.8,6.8
5.32,No,No,No,37.1,7.0
9.19,No,Yes,No,24.6,5.3
8.15,No,Yes,Yes,106.6,5.4
7.43,No,Yes,Yes,25.2,7.7
8.85,Yes,Yes,Yes,117.1,5.8
5.4,Yes,Yes,No,29.2,9.9
5.17,No,Yes,Yes,11.1,9.7
7.85,Yes,No,Yes,23.5,7.9
9.16,Yes,Yes,Yes,20.3,7.4
5.5,No,No,No,100.3,5.7
6.59,Yes,Yes,Yes,48.9,9.1
4.84,Yes,Yes,No,66.1,9.0
5.14,Yes,No,No,116.9,6.2
6.06,Yes,Yes,Yes,61.1,8.8
4.69,No,No,Yes,105.3,6.8
7.59,No,No,No,96.8,4.1
5.84,Yes,Yes,No,39.0,9.2
6.4,No,Yes,No,0.9,8.3
6.12,No,Yes,No,3.9,8.3
7.98,Yes,No,No,48.5,6.5
5.11,No,No,Yes,100.7,6.2
6.66,Yes,No,Yes,113.7,6.3
9.19,No,Yes,Yes,1.7,6.7
6.85,Yes,Yes,No,65.7,8.9
4.93,Yes,No,No,96.0,6.6
9.28,No,No,No,58.7,3.7
7.35,No,No,No,31.6,5.8
7.62,No,No,Yes,104.3,4.3
5.57,Yes,Yes,Yes,11.6,10.0
8.25,Yes,Yes,No,77.2,6.8
6.09,Yes,No,Yes,99.9,7.2
5.65,Yes,No,Yes,77.8,8.2
7.6,No,Yes,No,39.8,6.8
6.2,No,Yes,No,50.4,7.7
9.29,Yes,No,No,57.3,5.4
6.76,Yes,Yes,Yes,30.3,9.8
8.65,Yes,No,Yes,52.8,6.2
6.37,No,Yes,Yes,101.1,7.5
8.38,No,No,No,89.7,4.8
8.77,Yes,No,Yes,59.2,5.9
9.1,Yes,No,Yes,41.0,6.1
9.21,No,No,Yes,82.0,4.2
8.4,No,Yes,Yes,97.6,6.5
4.76,No,Yes,No,14.7,9.3
6.04,No,No,Yes,1.0,7.8
6.41,No,No,No,91.3,5.1
5.56,No,No,Yes,107.3,5.9
8.3,Yes,No,Yes,43.4,7.0
5.93,Yes,Yes,Yes,51.0,9.4
8.51,No,No,No,6.5,5.6
5.56,Yes,No,Yes,58.6,8.4
6.99,Yes,Yes,No,49.2,8.9
7.67,Yes,Yes,Yes,68.7,8.2
